province,accu_diagnosis,dead,heal,now_confirm,deadRate,healRate
上海,323,5,230,88,0.02,0.71
云南,483,1,388,94,0,0.8
内蒙古,1266,0,1221,45,0,0.96
北京,996,9,513,474,0.01,0.52
吉林,6575,2,227,6346,0,0.03
四川,236,3,196,37,0.01,0.83
天津,721,3,498,220,0,0.69
山东,1286,5,327,954,0,0.25
山西,107,0,85,22,0,0.79
广东,2141,6,1323,812,0,0.62
广西,443,0,371,72,0,0.84
江苏,974,0,807,167,0,0.83
河北,1412,5,1212,195,0,0.86
河南,621,8,606,7,0.01,0.98
浙江,1493,1,1274,218,0,0.85
海南,58,1,54,3,0.02,0.93
湖北,50419,3869,46524,26,0.08,0.92
湖南,287,2,283,2,0.01,0.99
甘肃,265,2,123,140,0.01,0.46
福建,392,0,348,44,0,0.89
贵州,48,0,44,4,0,0.92
辽宁,820,1,634,185,0,0.77
重庆,51,0,28,23,0,0.55
陕西,2510,3,2263,244,0,0.9
青海,28,0,26,2,0,0.93
黑龙江,950,4,907,39,0,0.95
