date,accu_diagnosis,dead,heal,now_confirm
2020/2/12,9,0,8,1
2020/2/15,41,0,40,1
2020/2/17,80,0,79,1
2021/1/1,8,0,4,4
2021/1/15,57,0,56,1
2021/11/16,296,0,295,1
2021/11/8,70,0,50,20
2022/1/17,2,0,1,1
2022/1/20,489,5,483,1
2022/1/23,31,0,12,19
2022/1/24,20,1,14,5
2022/1/27,12,0,11,1
2022/2/14,5,0,3,2
2022/2/19,430,0,429,1
2022/2/21,58,0,55,3
2022/2/22,349,0,237,112
2022/2/24,24,9,3,12
2022/2/26,137,1,98,38
2022/2/28,26,0,21,5
2022/2/3,27,1,18,8
2022/3/1,143,1,124,18
2022/3/10,1518,2,1483,33
2022/3/11,298,0,240,58
2022/3/12,1185,2,1104,79
2022/3/13,1084,2,890,192
2022/3/15,16430,32,6892,9506
2022/3/2,289,1,138,150
2022/3/3,227,3,188,36
2022/3/4,518,1,512,5
2022/3/5,70,0,62,8
2022/3/6,350,0,320,30
2022/3/7,50562,3869,46603,90
2022/3/8,20,0,5,15
2022/3/9,40,0,34,6
